Tool,UID,Activity ID,Content Partner,Activity Name
Connect,-LvGsoTdi-HFa4r9eNgK,1095,College Board,“The Red Fox Fur Coat”
Connect,-M-H0DCwYDcD3OsfuXWY,1195,College Board,"""The First Day"""
Connect,-M03YCpAMJn8IxSPZKPa,1222,College Board,"""An Occurrence at Owl Creek Bridge"""
Connect,-M03YpZB2gHlSsxS542O,1223,College Board,Lamb to the Slaughter
Connect,-M03WbwMR1ZaXMAFLXro,1231,College Board,What Happened During the Ice Storm
Connect,ffb1d005-ff57-4a02-ba25-c744ef795b4c,1271,College Board,The Night Circus
Connect,39da04f2-eae9-456d-a255-a36bf0f565d0,1272,College Board,"“Drowning in Dishes, but Finding a Home”"
Connect,2c4518d6-2417-479c-8c6a-782e7692ed41,1273,College Board,The Hamilton Mixtape
Connect,84235cb1-bd7a-4404-a2ac-a47dcf7f23cd,1274,College Board,The Girl Who Fell from the Sky
Connect,b03713db-bced-4890-81e8-6414a0dcf46e,1275,College Board,“The Decline of the American Teenager’s Summer Job”
Connect,39239b1f-7caa-4703-b9ca-d90778eb4872,1277,College Board,Lottery
Connect,ab9f51d3-ccf4-49fc-b621-b30721f5583b,1278,College Board,“Teenagers have Stopped Getting Summer Jobs—Why?”
Connect,bc61293f-b376-437c-bc48-e6b98d4b0d81,1279,College Board,All the Light We Cannot See
Connect,7712a90e-8dd7-4297-bf26-b9747b2a2f86,1280,College Board,Romeo and Juliet
Connect,21eac116-a51a-4ea0-8ce6-ff7aa576fe04,1281,College Board,Tamara's Opus
Connect,2e04ef36-ceea-4544-b7c7-751f89fc2b34,1282,College Board,“What to Do with Kids This Summer? Put ‘Em to Work”
Connect,-M1WgGWcOk22p63fohFK,1283,College Board,1984
Connect,-M1WgDhT2QMzj_vnImab,1284,College Board,"""The Fight"""
Connect,-M1WgLi9ZmrvpyXNoshp,1285,College Board,"The Work You Do, the Person You Are"
Connect,6b69f10b-8d7b-45df-8558-dc3da0a5f140,1290,College Board,Out of My Mind
Connect,-Kbk-mjzTNeqWbvVG9zI,476,Core Knowledge,The Boston Massacre
Connect,-KbvuSGyq6ANjB6cSzpQ,477,Core Knowledge,The Stamp Act
Connect,-Kbvv3WS6vGNkeW7d6dt,478,Core Knowledge,The Boston Tea Party
Proofreader,-Kc-iJqt0TsWgfwYkT6m,481,Core Knowledge,The Sons of Liberty
Proofreader,-KoJ1PFy2DNaRhEtlWex,499,Core Knowledge,George Washington
Proofreader,-KoJ9Lrs-pUNFrzjFTz6,503,Core Knowledge,Sailing with the Stars
Proofreader,-KoJB86Hm3C2_OOo9zA6,504,Core Knowledge,The Cape of Good Hope
Proofreader,-KoJCM7vJTVowwUG_NpH,505,Core Knowledge,Totem Poles
Proofreader,-KqUMM-Akp6DDQlVlAbq,516,Core Knowledge,Spices
Proofreader,-KqUQCCoHDkIggc6BMtU,517,Core Knowledge,Roanoke
Proofreader,-KqU.S.2G2QYq3KWYPHazn,518,Core Knowledge,Santa Maria del Fiore
Proofreader,-KqUXZEm8IdwvR2frMfO,520,Core Knowledge,The School of Athens
Proofreader,-KqYDjR0nWR2gNhyOwWY,521,Core Knowledge,Who was Cervantes?
Proofreader,-KqYHrOHtQSIQ4B2T-wa,523,Core Knowledge,The Sapa Inca
Proofreader,-KqYJAxtdM6HVQi7vHpj,524,Core Knowledge,Native Americans & Horses
Proofreader,-KqYKnytOMErPTLZAgUl,525,Core Knowledge,Godasiyo the Woman Chief
Proofreader,-KqYOlcdRBPIkG6Fe-oc,527,Core Knowledge,Navajo Code Talkers
Proofreader,-KqYRDChl1VQ_QB7rEUL,528,Core Knowledge,Vision Quests
Proofreader,-KqYSjSU.S.SUnLNETJEzg,529,Core Knowledge,What's in a Bean?
Proofreader,-KqYXnbNX5-yKYBF0MHF,530,Core Knowledge,Fruit or Vegetable?
Proofreader,-KqZ1GcvRyn-0x5ph2KS,531,Core Knowledge,Tenochtitlán
Proofreader,-KqdKIZmtEyLE5TTfmwp,532,Core Knowledge,Fossils
Proofreader,-KqdMzxI9fqItxVh_Vgy,533,Core Knowledge,Isabella I of Castile
Proofreader,-KqdjKv54k5iifw2FzDk,534,Core Knowledge,Plants: Bee Gardens
Proofreader,-Kqdo2aBDw7bJ4YIXynn,535,Core Knowledge,Maya Calendar
Proofreader,-KqhXp64K1DKX5EtaSYG,536,Core Knowledge,Plate Tectonics
Proofreader,-KqhpFWpVQubJhqWrkFb,537,Core Knowledge,Rocks
Proofreader,-Kqipm5LV2GUkQYGQ8Lh,538,Core Knowledge,Cactus Photosynthesis
Proofreader,-Kqir7E9_3JftVmWhm7z,539,Core Knowledge,Paul Revere's Ride
Proofreader,-KqixRPyWpTzXtBmZtmm,540,Core Knowledge,Colonial Life in the American Revolution
Proofreader,-Kr1Tc2R9sunf8yHM5xh,541,Core Knowledge,Women in the American Revolution
Proofreader,-Kr1VzAFLsATQbuRJlHd,542,Core Knowledge,Man on the Moon
Proofreader,-Kr1cS7S74s-RHF28y9H,544,Core Knowledge,Mars
Proofreader,-Kr20EDdSpxQm93BJrco,545,Core Knowledge,Mae Jemison
Proofreader,-Kr23P_QLluLsDOeT7MB,547,Core Knowledge,The Silk Road
Proofreader,-Kr24ZZ6uu51bYXhADhG,549,Core Knowledge,Shihuangdi's Search for Immortality
Proofreader,-Kr26YEA35YGuXWE0jzb,550,Core Knowledge,Zheng He and the Pirate
Connect,-KqZdYHq5N9O1OYfzZbl,584,Core Knowledge,The Iroquois Confederacy
Connect,-KqZWcwJndWJBU-U3ehj,585,Core Knowledge,The Importance of the Buffalo
Connect,-KqZh2mwDeSPLCxp2UAT,586,Core Knowledge,Ishi
Connect,-KqZaKPdDL_-tnCUDIlX,587,Core Knowledge,The Dawes Act
Connect,-KqZiV1bnPe48h6gyYss,605,Core Knowledge,Magellan
Connect,-KqcJOzHDYUrioJ6fPlR,606,Core Knowledge,Jamestown
Connect,-KqZ_8tESejeyBmj-_pO,608,Core Knowledge,The Travels of Marco Polo
Connect,-KqZUaz7rINZ8fNssJ6r,613,Core Knowledge,Asteroids
Connect,-KqZR__u2hpJ2z8cIch-,614,Core Knowledge,Ham and Alan Shepard
Connect,-KqZFTXwQ5MCZMH9-bUN,615,Core Knowledge,Eclipses
Connect,-KqiiQTci2gs9zhx2tIA,616,Core Knowledge,Tang Dynasty Inventions
Connect,-KqilM2xWovC-Hudmvjn,617,Core Knowledge,Hui Zong's Defeat
Connect,-Kqisu7eUfGfGvjRvT2W,618,Core Knowledge,The Mongol Invasion of China
Connect,-KqigC-G1kUp_pEeQJjl,619,Core Knowledge,Shihuangdi Unifies China
Connect,-KqYkktoWRhHby2187G8,621,Core Knowledge,The Rock Cycle
Connect,-KqYgUp3xAAJYxZtX2yr,622,Core Knowledge,Fold Mountains
Connect,-KqYd2Nk25H2e3fdkwcs,623,Core Knowledge,Hydrothermal Vents
Connect,-KqcjgL00W0ro-Wr4Bts,627,Core Knowledge,Hernan Cortes
Connect,-KqcdV5JA9uU.S.Y09VvOP,628,Core Knowledge,Maya Mystery
Proofreader,-KqZ1GcvRyn-0x5ph2KS,629,Core Knowledge,Tenochtitlán
Connect,-KqcTJxEiuq07PJzbDIc,630,Core Knowledge,The Royal Road
Connect,-KqZQ1fZyO-Lz5UwooN2,632,Core Knowledge,Vascular and Non-vascular Plants
Connect,-KqZLtzic921c7eDVc1D,633,Core Knowledge,Plants in the Food Chain
Connect,-KqZIkV8V3_92A2ajc4u,634,Core Knowledge,Plant Cells and Animal Cells
Connect,-KqZECh5ZxntzLDB-xQK,635,Core Knowledge,Parts of Vascular Plants
Connect,-KqZpAZ8UMhwZp_3ezqw,640,Core Knowledge,Renaissance Beginnings in Italy
Connect,-KqZvArG8422vhwB7rIo,641,Core Knowledge,The Medici Family
Connect,-KqZldiOXNWbJNFvIRY-,642,Core Knowledge,Humanism
Connect,-KqdGWI1rgvtQBg2vIb0,643,Core Knowledge,The Northern Renaissance
Connect,-KqY7BQmhDn71y-E-s3C,728,Core Knowledge,The War Begins at Lexington and Concord
Connect,-KqYNoENpFXSttDu-xPf,729,Core Knowledge,Turning Point: Bunker Hill
Connect,-KqYPpC3o3JeeuhQadBF,730,Core Knowledge,Turning Point: Saratoga
Connect,-KqYK5A0fNos0ZbUjjOu,731,Core Knowledge,The War Ends at Yorktown
Proofreader,-L8ZGcyIM49GOsX_uOPN,747,Core Knowledge,Sputnik 1
Connect,-LAo-erEroO6r6XV1tAV,756,Core Knowledge,International Space Station
Connect,-KhO2hv2Wl8rVCHp1B1G,860,Core Knowledge,Hernando de Soto