Tool,UID,Activity ID,Activity Name,Lexile Raw,Grade Band
Connect,-LsIaNoUKQT3DQFqRpx5,1096,Activity 1: To Be with Singular Pronouns,0-100,2nd-3rd
Grammar,-LsIg6Q8sOLH3v3jFilE,1097,Activity 2: To Be with Singular Pronouns,0-100,2nd-3rd
Connect,-LsO4DwSlWo-10HhY3_F,1098,Activity 3: To Be with Singular Pronouns,0-100,2nd-3rd
Grammar,-LsT11Ql6PMVicofrSwv,1099,Activity 4: To Be with Singular Pronouns,0-100,2nd-3rd
Connect,-LsTRP0gFdy-d5lIfifn,1100,Activity 5: Using A and An in To Be Sentences,0-100,2nd-3rd
Grammar,-LuYfZ1NrGcjyvmWLzI1,1101,Activity 6: Using A and An in To Be Sentences,0-100,2nd-3rd
Connect,-LsXUzyf8l2DSp1ykK4e,1104,Activity 10: Singular vs. Plural Nouns,0-100,2nd-3rd
Grammar,-LsXcgv4qkHQT_f5AJsO,1105,Activity 11: Singular vs. Plural Nouns,0-100,2nd-3rd
Connect,-Lt5jbwYDjEvVnuAc0RW,1106,Activity 13: To Be with Negation,0-100,2nd-3rd
Grammar,-Lt5m4PQzv4_VT2IvV4u,1107,Activity 14: Singular vs. Plural Nouns,0-100,2nd-3rd
Grammar,-Lt5nddxIQuWgb3ayJWJ,1108,"Activity 15: Word Order with To Be, Negation, and Articles",0-100,2nd-3rd
Grammar,-LuYWj-C8a0uGvhLDH-m,1117,Activity 30: Singular vs. Plural Nouns with To Want,0-100,2nd-3rd
Grammar,-LuYZlNkpF0DeX_qqF0O,1118,Activity 32: To Want with Pronouns,0-100,2nd-3rd
Grammar,-LuYgjxPCkUBjjiR8BLq,1120,Activity 34: Singular vs. Plural Nouns with To Have,0-100,2nd-3rd
Grammar,-LuYzGy4q504cSLhY75g,1122,Activity 36: To Have with Pronouns,0-100,2nd-3rd
Connect,-LuZ-V1tMCsRo56xccmi,1123,Activity 37: Using A and An in To Want Sentences,0-100,2nd-3rd
Grammar,-LuZ0jXW-HvCcJdmAH36,1124,Activity 38: Singular vs. Plural Nouns with Negative To Want,0-100,2nd-3rd
Grammar,-LuZ5cqJ7iNRY_2QdOck,1126,Activity 40: To Want with Negation,0-100,2nd-3rd
Grammar,-LuZBfG1Z9LkmIpXX1Vu,1128,Activity 42: Singular vs. Plural Nouns with Negative To Have,0-100,2nd-3rd
Grammar,-LuZm5v7TFkCGFgTCSxg,1130,Activity 44: To Have with Negation,0-100,2nd-3rd
Connect,-LuZne6q09tolm1mZvvo,1131,Activity 45: To Have with Numbers,0-100,2nd-3rd
Grammar,-LuZoWmlAj-k7nGiP1cR,1132,Activity 46: To Want with Numbers,0-100,2nd-3rd
Connect,-LuZqTIbKXRGK60SJ7zS,1133,Activity 47: Word Order with Numbers and Nouns,0-100,2nd-3rd
Connect,-Lv1shFvLJfWQMfx7Pi-,1136,Activity 24: To Be with Nouns as Subjects,0-100,2nd-3rd
Connect,-Lv1u1yIS4P5xYeLGGGu,1137,Activity 7: To Be with Singular Nouns,0-100,2nd-3rd
Grammar,-Lv2p_C07SJLoaMzUEla,1138,Activity 28: Articles with Subjects,0-100,2nd-3rd
Grammar,-LyV6TBeZMZ_LI--84X7,1144,Activity 12: To Be with Singular and Plural Nouns,0-100,2nd-3rd
Grammar,-Ly_ZOZq9z0vza65NTln,1146,Activity 62: To Want in Yes/No Questions,0-100,2nd-3rd
Grammar,-Ly_fbt8C91Qxx7_-Cli,1147,Activity 64: To Have in Yes/No Questions,0-100,2nd-3rd
Connect,-Lv2n_omDvTJjuuTmXp6,1151,Activity 27: Using The Before the Subject,0-100,2nd-3rd
Grammar,-LuYVU0Atduong8PZryz,1153,Activity 21: Articles with Adjectives,0-100,2nd-3rd
Grammar,-Lv2lhvP7KwrlRcJLJi3,1154,Activity 26: Articles with Adjectives,0-100,2nd-3rd
Connect,-L6Hj4zVM72mXBWXFuiL,734,Present Progressive Tense 3 (Intermediate),100-200,2nd-3rd
Connect,-L6ICQqh9110BvOx7pJS,735,Present Progressive Tense 4 (Intermediate),100-200,2nd-3rd
Connect,-Lt5qSGblXSuxhj0rBYo,1109,Activity 16: To Be with Pronouns,100-200,2nd-3rd
Grammar,-Lu97wyu68tDnTFDlvKd,1110,Activity 17: Singular vs. Plural Modified Objects,100-200,2nd-3rd
Connect,-Lu9m4PS_-6vKEz8FDnb,1111,Activity 18: Word Order with Adjectives and Nouns,100-200,2nd-3rd
Grammar,-Lu9nuipMB_KS3FwQV4U,1112,Activity 19: Word Order with Adjectives and Articles,100-200,2nd-3rd
Connect,-LuEOsF2XhqpOFBF4FHa,1113,Activity 20: To Be with Adjectives,100-200,2nd-3rd
Connect,-LuETUQs89RfMLxhiCMu,1114,Activity 22: To Be with Adjectives,100-200,2nd-3rd
Connect,-LuEUc9mA5SQwmETdQ_N,1115,"Activity 29: Word Order with To Want, Adjectives, and Nouns",100-200,2nd-3rd
Connect,-LuEjBXuHVfdv1WKtaeW,1116,Activity 31: To Want with Pronouns,100-200,2nd-3rd
Connect,-LuYeX9fN-m9_DKGRjy6,1119,"Activity 33: Word Order with To Have, Adjectives, and Nouns",100-200,2nd-3rd
Connect,-LuYjArO2x6f3dakn2M4,1121,Activity 35: To Have with Pronouns,100-200,2nd-3rd
Connect,-LuZ2gFa20gDD09Kre_-,1125,Activity 39: To Want with Negation,100-200,2nd-3rd
Connect,-LuZ7PvG10DtLrdJDPvw,1127,Activity 41: Using A and An in To Have Sentences,100-200,2nd-3rd
Connect,-LuZkr3AmRK3jHHOWgR_,1129,Activity 43: To Have with Negation,100-200,2nd-3rd
Connect,-LuZsFfWkRzwjDIq6WXI,1134,Activity 48: Coordinate Adjectives with To Be,100-200,2nd-3rd
Connect,-LuZu3a1OcHsZwlagiBp,1135,Activity 49: Compound Objects with To Be,100-200,2nd-3rd
Connect,-Lv2wj-YryL4TayVbe7Q,1139,Activity 55: Singular vs. Plural Objects in Questions,100-200,2nd-3rd
Grammar,-Lv330j4II8KfXXSUUec,1141,Activity 59: To Be in Yes/No Questions,100-200,2nd-3rd
Grammar,-Lv36NvAz9Emt_7chIkP,1142,Activity 57: To Be in Yes/No Questions,100-200,2nd-3rd
Connect,-Lv37eSrw3QrBHV7xEjR,1143,Activity 60: Word Order in Questions,100-200,2nd-3rd
Grammar,-LyV8AlbzNy0iMcp2THL,1145,Activity 25: To Be with Plural Nouns,100-200,2nd-3rd
Connect,-Ly_VWfkVFcYCV7i8rqx,1148,Activity 61: To Want in Yes/No Questions,100-200,2nd-3rd
Connect,-Ly_e7fHShT85TFgyM41,1149,Activity 63: To Have in Yes/No Questions,100-200,2nd-3rd
Connect,-Lya402C0JqeEtGjvWR8,1150,Activity 65: Yes/No Questions with Nouns as Subjects,100-200,2nd-3rd
Connect,-LuEU3kku-L-ntxujrPC,1152,"Activity 23: Word Order with Adjectives, Articles, and Nouns",100-200,2nd-3rd
Grammar,-Lv2xuPmlyeYeOsIYzT5,1155,Activity 56: Articles with Objects in Questions,100-200,2nd-3rd
Connect,-Lv2rJsczDdRgG0zIoGY,1158,Activity 52: Listing Adjectives in To Be Sentences,100-200,2nd-3rd
Connect,-Lv2tZFJ2Iwk9f7Hm2lB,1159,Activity 53: Listing Objects in To Want Sentences,100-200,2nd-3rd
Proofreader,-K2SFpnW1xuDgOPhSdyU,249,Rhode Island,1000-1100,8th-9th
Proofreader,-K2sjsd5Ni4z3ikgtL7D,252,Eleanor Roosevelt,1000-1100,8th-9th
Proofreader,-K2u8uVj3hhJDJbvub6d,254,Chinese New Year,1000-1100,8th-9th
Proofreader,-K3MeAWWMtMrUmM6xbn9,261,The Great Chicago Fire,1000-1100,8th-9th
Proofreader,-KA6pY-Mzxefmkw_oOuM,264,Martin Luther King Day,1000-1100,8th-9th
Proofreader,-KFBCxnLgoU2kDvFYXIm,312,Conquistadores and the Inca,1000-1100,8th-9th
Proofreader,-KKKmU9XuY5zFbdrHZqH,362,Chinese Porcelain Ceramics,1000-1100,8th-9th
Proofreader,-KKPbSxzBRMXkEmiU.S.Sw,364,Frida Kahlo,1000-1100,8th-9th
Proofreader,-KKPv27S-jdSytCO_yw7,365,The History of Music Festivals,1000-1100,8th-9th
Proofreader,-KKPvFIPm0nGFe-gzgyk,366,The Turk,1000-1100,8th-9th
Proofreader,-KKUD2DDtAzo0fNWwdX8,368,Hope Powell,1000-1100,8th-9th
Proofreader,-KKjn-RcJOcQDmxPxfGM,371,Facebook,1000-1100,8th-9th
Proofreader,-KKz8iHJe2PDReO2xzJp,374,Albuquerque Balloon Fiesta,1000-1100,8th-9th
Proofreader,-KKz9ClfUFF6ZwZhg-Tk,376,The Beach Boys,1000-1100,8th-9th
Proofreader,-KMfFIQW07y5jCuEGGuS,377,The Museum of Modern Art (MOMA),1000-1100,8th-9th
Proofreader,-KMyaElkJgyS4zKwP843,381,Lyndon Johnson,1000-1100,8th-9th
Proofreader,-KMybyBJPMrXxZzOOg1A,384,Hip Hop in New York,1000-1100,8th-9th
Proofreader,-KMzAvBQql6ma6zQBrLC,392,The Fula People,1000-1100,8th-9th
Proofreader,-KMzS8-z8cN87Jnhn9i3,393,Paul Newman,1000-1100,8th-9th
Proofreader,-KND_BoHQ7zaj23VRZoc,394,Mahatma Gandhi,1000-1100,8th-9th
Proofreader,-KOGQl7iqhU.S.m34He1lU,398,James Joyce,1000-1100,8th-9th
Proofreader,-KOGsXCKFc1fxQxZ1g27,401,Thai Cuisine,1000-1100,8th-9th
Proofreader,-KOQK7H6eswW95mjtm3i,406,Harlem Renaissance,1000-1100,8th-9th
Proofreader,-KOQKLyKmQO5xiJMA2T4,407,Pasta,1000-1100,8th-9th
Proofreader,-KOor02MiQqz0r0X9Tc-,411,The Golden Gate Bridge,1000-1100,8th-9th
Proofreader,-KWZuiGZGZe2h2kKxv__,457,Macy's Thanksgiving Day Parade,1000-1100,8th-9th
Proofreader,-KWZx2La6cYEEPYBYoiA,460,The Pilgrims,1000-1100,8th-9th
Proofreader,-KWcm9LmcFo4dX2eJryQ,464,The History of Football,1000-1100,8th-9th
Proofreader,-Kc-iJqt0TsWgfwYkT6m,481,The Sons of Liberty,1000-1100,8th-9th
Proofreader,-KoJ1PFy2DNaRhEtlWex,499,George Washington,1000-1100,8th-9th
Proofreader,-KoJB86Hm3C2_OOo9zA6,504,The Cape of Good Hope,1000-1100,8th-9th
Proofreader,-KoJCM7vJTVowwUG_NpH,505,Totem Poles,1000-1100,8th-9th
Proofreader,-KqYHrOHtQSIQ4B2T-wa,523,The Sapa Inca,1000-1100,8th-9th
Proofreader,-KqYRDChl1VQ_QB7rEUL,528,Vision Quests,1000-1100,8th-9th
Proofreader,-KqdKIZmtEyLE5TTfmwp,532,Fossils,1000-1100,8th-9th
Proofreader,-KqhXp64K1DKX5EtaSYG,536,Plate Tectonics,1000-1100,8th-9th
Connect,-KqZdYHq5N9O1OYfzZbl,584,The Iroquois Confederacy,1000-1100,8th-9th
Connect,-KqZh2mwDeSPLCxp2UAT,586,Ishi,1000-1100,8th-9th
Connect,-KqcJOzHDYUrioJ6fPlR,606,Jamestown,1000-1100,8th-9th
Connect,-KqdGWI1rgvtQBg2vIb0,643,The Northern Renaissance,1000-1100,8th-9th
Connect,-L3YcvDLEKaP8F8SjphF,650,Advanced Combining,1000-1100,8th-9th
Proofreader,-L5B-RcuHUkAgUXfyF5F,657,Glacier National Park,1000-1100,8th-9th
Proofreader,-L8ZGcyIM49GOsX_uOPN,747,Sputnik 1,1000-1100,8th-9th
Connect,-LDN2q7QEA6HtQQZCVy8,776,"And, Or, But, So 2 (Intermediate)",1000-1100,8th-9th
Proofreader,-LTZXRAAM0rQND0MQJNw,881,Figure Skating,1000-1100,8th-9th
Connect,-LVKWAApZXBPkThVPINH,897,"And, Because, Or (Intermediate)",1000-1100,8th-9th
Connect,-LNWbao49ibgSa-IdgX5,901,The Industrial Revolution,1000-1100,8th-9th
Connect,-LaGcXeHzOAQAY8wsJEt,986,Conjunctive Adverbs 2,1000-1100,8th-9th
Connect,-M-H0DCwYDcD3OsfuXWY,1195,"""The First Day""",1000-1100,8th-9th
Connect,-LzcXLNeNLwqdUbr3T-d,1196,"But, So 3 (Starter)",1000-1100,8th-9th
Connect,-M0Ouy06G9060LMplzRg,1210,Pronoun-Antecedent Agreement with Either/Or and Neither/Nor 2,1000-1100,8th-9th
Connect,-M0xYocjltuFHycVV7ZS,1211,Appositives in the Middle 3,1000-1100,8th-9th
Connect,-M0xZLUxfgCzmUt8gi9P,1212,Appositives at the End 2,1000-1100,8th-9th
Connect,-M0x_9WcmO3UHGjrwiMu,1214,"Appositives at the Beginning, Middle, and End 2",1000-1100,8th-9th
Connect,-M0y8xGJY6ReydyJHdno,1217,"And, Or 2 (Intermediate)",1000-1100,8th-9th
Connect,-M0-HTouP70bkM0nHyBb,1218,"Who, That, Which 2 (Starter)",1000-1100,8th-9th
Connect,-M2ct7iLn5RHm8jfKoIC,1225,Subject-Verb Agreement 1 (Intermediate),1000-1100,8th-9th
Connect,-M3DaO25LOJJvSNh3S_G,1233,Subject-Verb Agreement with Either/Or and Neither/Nor 2 (Intermediate),1000-1100,8th-9th
Connect,ffb1d005-ff57-4a02-ba25-c744ef795b4c,1271,The Night Circus,1000-1100,8th-9th
Connect,7712a90e-8dd7-4297-bf26-b9747b2a2f86,1280,Romeo and Juliet,1000-1100,8th-9th
Connect,21eac116-a51a-4ea0-8ce6-ff7aa576fe04,1281,Tamara's Opus,1000-1100,8th-9th
Connect,-LpToqwUMSj5WequLLwl,1359,Subordinating Conjunctions 5 (Intermediate),1000-1100,8th-9th
Connect,206458ad-5bcb-4712-852e-849664d26f76,1414,The Milky Way,1000-1100,8th-9th
Connect,f44665c4-fbf0-43be-a72d-90944f124cf6,1415,Impossible Colors,1000-1100,8th-9th
Proofreader,G01GZWMfEC08Vgx1t-Cc2w,35,One Giant Leap for Mankind,1100-1200,8th-9th
Proofreader,Yh49ICvX_YME8ui7cDoFXQ,37,The Apollo 8 Photograph,1100-1200,8th-9th
Proofreader,V-GFTkqADl9YMFWdmbmA5g,39,The Last Flight of the Apollo,1100-1200,8th-9th
Proofreader,rbGb9GdtzwzLSR14WKFzSg,89,Alexander and the Pirate Diomedes,1100-1200,8th-9th
Proofreader,-K3M_VGb_47BD7OWGRPC,260,Lewis and Clark,1100-1200,8th-9th
Proofreader,-KA6rpe2UdZ-XeX75_KW,265,Veterans Day,1100-1200,8th-9th
Proofreader,-KAGonOEqIjMjYeqcNKB,268,Inauguration Day,1100-1200,8th-9th
Proofreader,-KAexv2jOiMPXrPO9T0j,269,The Triathlon,1100-1200,8th-9th
Proofreader,-KEqdelwqbUwJ2xxms66,309,The United States Service Academies,1100-1200,8th-9th
Proofreader,-KFBCo9nyf9xV5JumTzL,311,Conquistadores and the Aztec,1100-1200,8th-9th
Proofreader,-KKKRYBeRmGHmrPWemS1,361,Middle Eastern Cuisine,1100-1200,8th-9th
Proofreader,-KKPw1sOlqUaIvWjgIIZ,367,Here Be Dragons,1100-1200,8th-9th
Proofreader,-KMyahas1qXkRNa7Ovtn,382,Global Warming,1100-1200,8th-9th
Proofreader,-KMyciwGOmN586_17odX,386,New York City Ballet,1100-1200,8th-9th
Proofreader,-KMyet9hk_nY8krZ8cXe,388,The Beatles,1100-1200,8th-9th
Proofreader,-KMyh3LulfVL0_KuPb8u,391,Coney Island,1100-1200,8th-9th
Proofreader,-KOFg0huZI65GzTvtTQG,397,Pluto,1100-1200,8th-9th
Proofreader,-KOGiNQyK0-jL-2uWT2V,399,The First Broadway Musical,1100-1200,8th-9th
Proofreader,-KOGjQdaFtkNK3JLeEPv,400,Mediterranean Diet,1100-1200,8th-9th
Proofreader,-KOorvFhoc9aJG_ei_0H,412,The Iditarod,1100-1200,8th-9th
Proofreader,-KqYOlcdRBPIkG6Fe-oc,527,Navajo Code Talkers,1100-1200,8th-9th
Proofreader,-Kr24U37f0GLowhXvHKx,548,The Statue of Liberty,1100-1200,8th-9th
Connect,-KqZaKPdDL_-tnCUDIlX,587,The Dawes Act,1100-1200,8th-9th
Proofreader,-L6J2IRejIZXrpRj0821,724,Pigeons,1100-1200,8th-9th
Connect,-KhO2hv2Wl8rVCHp1B1G,860,Hernando de Soto,1100-1200,8th-9th
Connect,-LQZmDz4_sKSrN00L5c1,869,Compound-Complex Sentences 2 (Starter),1100-1200,8th-9th
Connect,-LVKZ-wkGQzVAkG3LLGe,898,"Although, Since, When (Intermediate)",1100-1200,8th-9th
Connect,-LXt_ABtU8XNy8V94IoC,983,Dyslexia,1100-1200,8th-9th
Connect,-Lcg3ihPzuAscaAe61eW,991,Subordinating Conjunctions 1 (Intermediate),1100-1200,8th-9th
Connect,-LiEPvTdqZfQODIFOqdn,994,"Appositives, Relative Clauses, and Participial Phrases 1",1100-1200,8th-9th
Connect,-LiOXiT701VuGvIjyEHj,999,"Appositives, Relative Clauses, and Participial Phrases 2",1100-1200,8th-9th
Connect,-Lisd171yRT_B6qK36bT,1002,Relative Clauses with Modifiers,1100-1200,8th-9th
Connect,-LvGsoTdi-HFa4r9eNgK,1095,“The Red Fox Fur Coat”,1100-1200,8th-9th
Grammar,-M0OvVfqe1jILlHBApXX,1204,Pronoun-Antecedent Agreement 2 (Intermediate),1100-1200,8th-9th
Grammar,-M0Ovgrr9uyoA1aLDMLb,1206,Pronoun-Antecedent Agreement 4 (Intermediate),1100-1200,8th-9th
Connect,-M0xZkfK9RcJjbUansHU,1213,Appositives at the Beginning 2,1100-1200,8th-9th
Connect,-M12OUZa1xUaAD-gwlm4,1216,Subject-Verb Agreement: Subject After the Verb 2 (Intermediate),1100-1200,8th-9th
Connect,-M-RRexc-rgBdvMokDu9,1219,"But, So 3 (Intermediate)",1100-1200,8th-9th
Connect,-M1C1Ymxrk8jAYX6AB_2,1220,Appositives in the Middle 4,1100-1200,8th-9th
Connect,-M03YCpAMJn8IxSPZKPa,1222,"""An Occurrence at Owl Creek Bridge""",1100-1200,8th-9th
Connect,-M03YpZB2gHlSsxS542O,1223,Lamb to the Slaughter,1100-1200,8th-9th
Connect,-M1XMWFwWEUtjyxym54l,1226,Subject-Verb Agreement 1 (Advanced),1100-1200,8th-9th
Connect,-M2nbLrB_loQJSYLwtby,1228,-ing Participial Phrases at the End 2,1100-1200,8th-9th
Connect,-M2JVzqTjUqOsCLIP-Jd,1234,Parallel Structure with Joining Words 2,1100-1200,8th-9th
Connect,-M2ixhkHng5tvLpNao1E,1235,Parallel Structure 2 (Advanced),1100-1200,8th-9th
Connect,-M3Cs2bSfKoVNhDDLMNm,1236,-ing Participial Phrases in the Middle 2,1100-1200,8th-9th
Connect,39da04f2-eae9-456d-a255-a36bf0f565d0,1272,"“Drowning in Dishes, but Finding a Home”",1100-1200,8th-9th
Connect,2c4518d6-2417-479c-8c6a-782e7692ed41,1273,The Hamilton Mixtape,1100-1200,8th-9th
Connect,84235cb1-bd7a-4404-a2ac-a47dcf7f23cd,1274,The Girl Who Fell from the Sky,1100-1200,8th-9th
Connect,39239b1f-7caa-4703-b9ca-d90778eb4872,1277,Lottery,1100-1200,8th-9th
Connect,bc61293f-b376-437c-bc48-e6b98d4b0d81,1279,All the Light We Cannot See,1100-1200,8th-9th
Connect,-M1WgGWcOk22p63fohFK,1283,1984,1100-1200,8th-9th
Connect,-M1WgLi9ZmrvpyXNoshp,1285,"The Work You Do, the Person You Are",1100-1200,8th-9th
Connect,6b69f10b-8d7b-45df-8558-dc3da0a5f140,1290,Out of My Mind,1100-1200,8th-9th
Proofreader,DbMniOje75Xze-ymW9RvHw,101,The First Space Walk,1200-1300,10th-12th
Proofreader,-KAGf_l1HQG0Epxk-3II,267,National Aviation Day,1200-1300,10th-12th
Proofreader,-KKFIkrWr694ZXLQBOZu,358,Romanticism,1200-1300,10th-12th
Proofreader,-Km7CRVk0zg_JWOCpBHP,489,The U.S. Open,1200-1300,10th-12th
Proofreader,-Km8982FQ1idu1F_4q6Z,492,Central Park,1200-1300,10th-12th
Proofreader,-Kqir7E9_3JftVmWhm7z,539,Paul Revere's Ride,1200-1300,10th-12th
Proofreader,-L-reLsVvpIQ2JOjdu8j,624,Dia de los Muertos,1200-1300,10th-12th
Connect,-LVitnSZOc9324dQxY6M,884,Tropical Rainforests,1200-1300,10th-12th
Connect,-LVyb_CLm3-8i7Z4DeTH,889,Women's Basketball,1200-1300,10th-12th
Connect,-LWWzDmU-RLJmEXCj8Mk,890,Ancient Greece,1200-1300,10th-12th
Connect,-LiJxXMp9Jur7c_GciG9,995,"Since, Because 3",1200-1300,10th-12th
Connect,-Lio40_H3wSaN21sp5--,1001,Compound-Complex Sentences (Intermediate),1200-1300,10th-12th
Connect,-M0OtiFho7WR7eKPM8bA,1202,Pronoun-Antecedent Agreement 4 (Advanced),1200-1300,10th-12th
Connect,-M0OtwQibfUT5CGJxQZB,1203,Pronoun-Antecedent Agreement 1 (Intermediate),1200-1300,10th-12th
Connect,-M0Ou9y0onpSMxbXKheB,1205,Pronoun-Antecedent Agreement 3 (Intermediate),1200-1300,10th-12th
Connect,-M0OuML3rS6kozkZWY4R,1207,Pronoun-Antecedent Agreement with Indefinite Pronouns 1,1200-1300,10th-12th
Connect,-M0OuZ0qZ7Ze86vRskOz,1208,Pronoun-Antecedent Agreement with Indefinite Pronouns 2,1200-1300,10th-12th
Connect,-M0Oujxun7_AktawnbjE,1209,Pronoun-Antecedent Agreement with Either/Or and Neither/Nor 1,1200-1300,10th-12th
Connect,-M12L8M1chAsb_uOSQ4v,1215,Subject-Verb Agreement: Subject After the Verb 1 (Intermediate),1200-1300,10th-12th
Connect,ab9f51d3-ccf4-49fc-b621-b30721f5583b,1278,“Teenagers have Stopped Getting Summer Jobs—Why?”,1200-1300,10th-12th
Connect,2e04ef36-ceea-4544-b7c7-751f89fc2b34,1282,“What to Do with Kids This Summer? Put ‘Em to Work”,1200-1300,10th-12th
Proofreader,1xsnNcwKva_viIzpgNuJ-Q,91,Aumakua,1300-1400,10th-12th
Connect,b03713db-bced-4890-81e8-6414a0dcf46e,1275,“The Decline of the American Teenager’s Summer Job”,1300-1400,10th-12th
Connect,-M0Osm0_Q7T2901Icgz8,1199,Pronoun-Antecedent Agreement 1 (Advanced),1400-1500,10th-12th
Connect,-M0OtEoLoosX-3fD4CXx,1200,Pronoun-Antecedent Agreement 2 (Advanced),1400-1500,10th-12th
Connect,-M0OtTqDLE-wssrsgWG4,1201,Pronoun-Antecedent Agreement 3 (Advanced),1400-1500,10th-12th
Grammar,Rtf8zIMGN2WndgL_n-HYyA,126,"Better & Best, Worse & Worst",200-300,2nd-3rd
Grammar,5v62jVAjZvDIdXjMpDMr3g,128,"Built, Broke",200-300,2nd-3rd
Grammar,z8WSMBEV9uBRodWd_t-RNA,176,"Commas for ""yes"" and ""no,"" tag questions, and addressing people",200-300,2nd-3rd
Connect,-KS7FXdJSPUpfWmTUBwR,425,Or (Starter),200-300,2nd-3rd
Connect,-Kw1zJ3DU25X8YSuVVJe,599,"Prepositional Phrases: In, At, On, To",200-300,2nd-3rd
Connect,-L5zirfq-pPy-6YlwbTL,732,Present Progressive Tense 1 (Intermediate),200-300,2nd-3rd
Connect,-L6HeUUARCsuzwTcGaKv,733,Present Progressive Tense 2 (Intermediate),200-300,2nd-3rd
Connect,-L7_y18cQ9mYYOGKjBkx,742,Simple Subject-Verb Agreement 1,200-300,2nd-3rd
Connect,-L87wjwBbwUWrPbioSBe,751,Simple Subject-Verb Agreement 2,200-300,2nd-3rd
Connect,-LC9mKneRMFOHJabZgWB,771,Subject-Verb Agreement with Indefinite Pronouns 2,200-300,2nd-3rd
Grammar,-LJKuRddkq7eF6TO50bs,803,Regular Plural Nouns,200-300,2nd-3rd
Grammar,-LJVfDfTAZ45WfBuusDf,808,Plural versus Possessive Nouns,200-300,2nd-3rd
Grammar,-LK8WAut6Un6rQokdE1r,820,Commas with Yes and No,200-300,2nd-3rd
Connect,-LOsVaCzNsfXnSy8NLCJ,857,Compound Possession with One Noun and One Pronoun,200-300,2nd-3rd
Connect,-LrEgp2YAMz7w8H8Th1X,1055,Simple Subject-Verb Agreement 4,200-300,2nd-3rd
Connect,-Lv2zLlKJFjeBI30SKW5,1140,Activity 58: To Be in Yes/No Questions,200-300,2nd-3rd
Connect,-LuZv4QWPjVEwzykwKs5,1156,Activity 50: Compound Objects with To Want,200-300,2nd-3rd
Grammar,6fb0e6f6-8dc4-43f0-83bd-a1a204ffe954,1377,Regular Plural Nouns 2,200-300,2nd-3rd
Grammar,HBWrzOaQzm73sHdRNuKuDw,105,"Either, Or",300-400,4th-5th
Grammar,b0XbYfl-ECVFe3KGORmFUQ,112,"To, Too, Two",300-400,4th-5th
Grammar,iYB86ILrC_x4DZwKhqV-mQ,124,Comparative and Superlative Adjectives,300-400,4th-5th
Grammar,SMPyFxSXOxEIr6Pi6WB4ZQ,129,"Came, Went, Did",300-400,4th-5th
Grammar,5PZONjaMfhY9ofF9RTEvBg,130,"Wrote, Spoke",300-400,4th-5th
Grammar,OQ3eV17BY1d4UcbhRKcQZA,131,"Sat, Hid",300-400,4th-5th
Grammar,fcI-wPQC41MqADBJy7-zXw,139,"This, That",300-400,4th-5th
