english,spanish
"<h3><strong>Take, Give, and Get</strong></h3><p>The past tense of <em>take</em> is <em>took</em>.</p><p>I <strong>take</strong> a test yesterday. -&gt; I <strong>took</strong> a test yesterday.  </p><br/><p>The past tense of <em>give</em> is <em>gave.</em> </p><p>She <strong>gives</strong> him a present earlier. -&gt; She <strong>gave</strong> him a present earlier. </p><br/><p>The past tense of <em>get</em> is <em>got</em>. </p><p>They all <strong>get</strong> candy for Halloween. -&gt; They all <strong>got</strong> candy for Halloween.</p>","<h3><strong>Take, Give, and Get</strong></h3><p>El tiempo pasado de <em>take</em> es <em>took</em>.</p><p>Yo <strong>take</strong> un examen ayer. -> Yo <strong>took</strong> un examen ayer.</p><br/><p>El tiempo pasado de <em>give</em> es <em>gave</em>.</p><p>Ella <strong>gives</strong> a él un regalo antes. -> Ella <strong>gave</strong> a él un regalo antes.</p><br/><p>El tiempo pasado de <em>get</em> es <em>got</em>. </p><p>Todos ellos <strong>get</strong> dulces para Halloween. -> Todos ellos <strong>got</strong> dulces para Halloween.</p>"
"<h3><strong>Action Phrase Meanings</strong></h3><p>All action phrases have different meanings, and sometimes the meanings are unexpected.</p><br/><p><strong><u>You See</u></strong></p><p>I will <u>pick her up / put her away / back her up</u> from the airport later?</p><br/><p><strong><u>You Write</u></strong></p><p>I will <strong>pick her up </strong>from the airport later?</p>","<h3><strong>Significados de Frases de Acción</strong></h3><p>Todas las frases de acción tienen diferentes significados, y a veces los significados son inesperados.</p><br/><p><strong><u>Tú Ves</u></strong></p><p>Voy a <u>recogerla / guardarla / respaldarla</u> del aeropuerto más tarde?</p><br/><p><strong><u>Tú Escribe</u></strong></p><p>Voy a <strong>recogerla</strong> del aeropuerto más tarde?</p>"
"<h3><strong>Action Phrase Meanings</strong></h3><p>All action phrases have different meanings, and sometimes the meanings are unexpected.</p><br/><p><strong><u>You See</u></strong></p><p>I will <u>pick her up / put her away / back her up</u> from the airport later?</p><br/><p><strong><u>You Write</u></strong></p><p>I will <strong>pick her up </strong>from the airport later?</p>","<h3><strong>Significados de Frases de Acción</strong></h3><p>Todas las frases de acción tienen diferentes significados, y a veces los significados son inesperados.</p><br/><p><strong><u>Tú Ves</u></strong></p><p>Yo <u>pick her up / put her away / back her up</u> del aeropuerto más tarde?</p><br/><p><strong><u>Tú Escribe</u></strong></p><p>Yo <strong>pick her up</strong> del aeropuerto más tarde?</p>"
"<h3><strong>Describing Things and Actions With Phrases</strong></h3><p>Give more information about a thing or action with phrases that start with words like <em>in, at, on, to, behind, about, toward, down, </em>and<em> after.  </em></p><br/><p>Put the phrase right after the thing or action it’s describing. Do not use a comma.</p><p><br/><strong><u>You See</u></strong></p><p>Julie baked bread ___ the oven. </p><br/><p><strong><u>You Write</u></strong></p><p>Julie baked bread <strong>in</strong> the oven.</p>","<h3><strong>Describiendo cosas y acciones con frases</strong></h3><p>Proporciona más información sobre una cosa o acción con frases que comienzan con palabras como <em>in, at, on, to, behind, about, toward, down,</em> y<em> after.</em></p><br/><p>Coloca la frase justo después de la cosa o acción que está describiendo. No uses coma.</p><p><br/><strong><u>Tú Ves</u></strong></p><p>Julie horneó pan ___ el horno. </p><br/><p><strong><u>Tú Escribe</u></strong></p><p>Julie horneó pan <strong>in</strong> el horno.</p>"
"<h3><strong>Describing Things and Actions With Phrases</strong></h3><p>Give more information about a thing or action with phrases that start with words like <em>in, at, on, to, behind, about, toward, down, </em>and<em> after.</em></p><br/><p>Put the phrase right after the thing or action it’s describing. Do not use a comma.</p><br/><p><strong><u>You See</u></strong></p><p>Julie baked bread ___ the oven.</p><br/><p><strong><u>You Write</u></strong></p><p>Julie baked bread <strong>in</strong> the oven.</p>","<h3><strong>Describiendo Cosas y Acciones con Frases</strong></h3><p>Brinda más información sobre una cosa o acción con frases que comienzan con palabras como <em>in, at, on, to, behind, about, toward, down, </em>y<em> after.</em></p><br/><p>Coloca la frase justo después de la cosa o acción que está describiendo. No uses coma.</p><br/><p><strong><u>Tú Ves</u></strong></p><p>Julie horneó pan ___ el horno.</p><br/><p><strong><u>Tú Escribe</u></strong></p><p>Julie horneó pan <strong>en</strong> el horno.</p>"
"<h3><strong>Say, Tell, and Hear</strong></h3><p>The past tense of <em>say</em> is <em>said</em>. </p><p>I <strong>say</strong> I wanted tacos for dinner. -&gt; I <strong>said</strong> I wanted tacos for dinner.</p><br/><p>The past tense of <em>tell</em> is <em>told.</em> </p><p>She <strong>tells</strong> her mom something earlier. -&gt; She <strong>told</strong> her mom something earlier.</p><br/><p>The past tense of <em>hear</em> is <em>heard</em>. </p><p>He <strong>hears</strong> Kyle singing this morning. -&gt; He <strong>heard</strong> Kyle singing this morning.</p>","<h3><strong>Say, Tell, and Hear</strong></h3><p>El pasado de <em>say</em> es <em>said</em>. </p><p>Yo <strong>say</strong> que quería tacos para cenar. -&gt; Yo <strong>said</strong> que quería tacos para cenar.</p><br/><p>El pasado de <em>tell</em> es <em>told.</em> </p><p>Ella <strong>tells</strong> algo a su mamá más temprano. -&gt; Ella <strong>told</strong> algo a su mamá más temprano.</p><br/><p>El pasado de <em>hear</em> es <em>heard</em>. </p><p>Él <strong>hears</strong> a Kyle cantar esta mañana. -&gt; Él <strong>heard</strong> a Kyle cantar esta mañana.</p>"
"<h3><strong>Combining Sentences</strong></h3><p>When two sentences talk about the same person, you can combine them into one sentence. Use <em>and</em> to connect the two things about the person.  </p><br/><p>When there is only one of each thing, put <em>a</em> or <em>an</em> before both things. </p><br/><p><u>You See</u> </p><p>She has a dog.</p><p>She has a cat.  </p><br/><p><u>You Write</u> </p><p>She has a dog <strong>and</strong> a cat.</p>","<h3><strong>Combinando Oraciones</strong></h3><p>Cuando dos oraciones hablan sobre la misma persona, puedes combinarlas en una sola oración. Usa <em>and</em> para conectar las dos cosas sobre la persona. </p><br/><p>Cuando solo hay uno de cada cosa, coloca <em>a</em> o <em>an</em> antes de ambas cosas. </p><br/><p><u>You See</u> </p><p>She has a dog.</p><p>She has a cat.  </p><br/><p><u>You Write</u> </p><p>She has a dog <strong>and</strong> a cat.</p>"
"<h3><strong>Combining Sentences</strong></h3><p>When two sentences talk about the same person, you can combine them into one sentence. Use <em>and</em> to connect the two things about the person.</p><p>When there is only one of each thing, put <em>a</em> or <em>an</em> before both things.</p><br/><p><u>You See</u></p><p>She wants a brown dog.</p><p>She wants an orange cat.</p><br/><p><u>You Write</u></p><p>She wants <strong>a</strong> brown dog <strong>and</strong> <strong>an</strong> orange cat.</p>","<h3><strong>Combinando Oraciones</strong></h3><p>Cuando dos oraciones hablan sobre la misma persona, puedes combinarlas en una sola oración. Usa <em>and</em> para conectar las dos cosas sobre la persona.</p><p>Cuando hay solo una de cada cosa, pon <em>a</em> o <em>an</em> antes de ambas cosas.</p><br/><p><u>You See</u></p><p>She wants a brown dog.</p><p>She wants an orange cat.</p><br/><p><u>You Write</u></p><p>She wants <strong>a</strong> brown dog <strong>and</strong> <strong>an</strong> orange cat.</p>"
"<h3><strong>For, With, To</strong></h3><p>Use these words in different situations:</p><br/><p>Things are <em>for</em> people. </p><p>People are <em>with</em> people. </p><p>People go <em>to</em> places.</p><br/><p>Examples:</p><p>It is <em>for</em> my mother.</p><p>I am <em>with</em> my friend.</p><p>I go <em>to</em> the park.</p><br/><p><u><strong>You See</strong></u></p><p>She drives ___ work.</p><br/><p><strong><u>You Write</u></strong></p><p>She drives <strong>to</strong> work.</p>","<h3><strong>For, With, To</strong></h3><p>Usa estas palabras en diferentes situaciones:</p><br/><p>Las cosas son <em>for</em> las personas. </p><p>Las personas están <em>with</em> las personas. </,p><p>Las personas van <em>to</em> los lugares.</p><br/><p>Ejemplos:</p><p>Es <em>for</em> mi madre.</p><p>Estoy <em>with</em> mi amigo.</p><p>Voy <em>to</em> el parque.</p><br/><p><u><strong>You See</strong></u></p><p>Ella va ___ al trabajo.</p><br/><p><strong><u>You Write</u></strong></p><p>Ella va <strong>to</strong> al trabajo.</p>"
"<h3><strong>A, An with Describing Words</strong></h3><p>Do not put <em>a</em>, <em>an</em>, or <em>the</em> before a single describing word.</p><br/><p><u>You See</u></p><p>He is <strong>happy / a happy</strong>.</p><br/><p><u>You Write</u></p><p>He is <strong>happy</strong>.</p>","<h3><strong>A, An con Palabras Descriptivas</strong></h3><p>No coloques <em>a</em>, <em>an</em> o <em>the</em> antes de una palabra descriptiva sola.</p><br/><p><u>Ves</u></p><p>Él es <strong>happy / a happy</strong>.</p><br/><p><u>Escribes</u></p><p>Él es <strong>happy</strong>.</p>"
"<h3><strong><em>The</em> Before People and Things</strong></h3><p>When a sentence starts with a person or a thing, put <em>the</em> before the person or thing.</p><br/><p><u>You See</u></p><p><strong>Car</strong> is red.</p><p>(<strong>the</strong>)</p><br/><p><u>You Write</u></p><p><strong>The car</strong> is red.</p>","<h3><strong><em>The</em> antes de personas y cosas</strong></h3><p>Cuando una oración comienza con una persona o una cosa, coloca <em>the</em> antes de la persona o cosa.</p><br/><p><u>Ves</u></p><p><strong>Car</strong> is red.</p><p>(<strong>the</strong>)</p><br/><p><u>Escribes</u></p><p><strong>The car</strong> is red.</p>"
"<h3><strong>Combining Sentences</strong></h3><p>When two sentences talk about the same person, you can combine them into one sentence. Use <em>and</em> to connect the two things about the person.</p><br/><p>When there is only one of each thing, put <em>a</em> or <em>an</em> before both things.</p><br/><p><u>You See</u></p><p>She is a mother.</p><p>She is a doctor.</p><br/><p><u>You Write</u></p><p>She is a mother <strong>and</strong> a doctor.</p>","<h3><strong>Combinando oraciones</strong></h3><p>Cuando dos oraciones hablan sobre la misma persona, puedes combinarlas en una sola oración. Usa <em>and</em> para conectar las dos cosas sobre la persona.</p><br/><p>Cuando solo hay uno de cada cosa, coloca <em>a</em> o <em>an</em> antes de ambas cosas.</p><br/><p><u>You See</u></p><p>She is a mother.</p><p>She is a doctor.</p><br/><p><u>You Write</u></p><p>She is a mother <strong>and</strong> a doctor.</p>"
"<h3><strong>Using <em>a, an</em>, and <em>the</em></strong></h3><p>Use <em>a</em> or <em>an</em> before general things or things that have not been seen or talked about before.  </p><br/><p>Use <em>the</em> before specific things or things that have already been mentioned. </p>","<h3><strong>Uso de <em>a, an</em> y <em>the</em></strong></h3><p>Usa <em>a</em> o <em>an</em> antes de cosas generales o cosas que no se han visto o mencionado antes.</p><br/><p>Usa <em>the</em> antes de cosas específicas o cosas que ya han sido mencionadas.</p>"
"<h3><strong>Combining Sentences</strong></h3><p>When two sentences talk about the same person, you can combine them into one sentence. Use <em>and</em> to connect the two things about the person. </p><p><br/>When there is only one of each thing, put <em>a</em> or <em>an</em> before both things.</p><p><br/><u>You See</u> </p><p>She wants a brown dog.</p><p>She wants an orange cat. </p><p><br/><u>You Write</u> </p><p>She wants <strong>a</strong> brown dog <strong>and</strong> <strong>an</strong> orange cat.</p>","<h3><strong>Combinación de oraciones</strong></h3><p>Cuando dos oraciones hablan sobre la misma persona, puedes combinarlas en una sola oración. Usa <em>and</em> para conectar las dos cosas sobre la persona.</p><p><br/>Cuando solo hay uno de cada cosa, coloca <em>a</em> o <em>an</em> antes de ambas cosas.</p><p><br/><u>You See</u></p><p>Ella quiere un perro marrón.</p><p>Ella quiere un gato naranja.</p><p><br/><u>You Write</u></p><p>Ella quiere <strong>a</strong> perro marrón <strong>and</strong> <strong>an</strong> gato naranja.</p>"
"<h3><strong>Combining Describing Sentences</strong></h3><p>When two sentences describe the same person, you can combine them into one sentence. Use <em>and</em> to connect the describing words.</p><br/><p><u>You See</u></p><p>She is kind.</p><p>She is happy.</p><br/><p><u>You Write</u></p><p>She is kind <strong>and</strong> happy.</p><br/><br/><p><em>If you want to study the vocabulary first, check out the vocabulary PDFs in the student center: https://www.quill.org/student-center/topic/student-how-to</em></p>","<h3><strong>Combinando oraciones descriptivas</strong></h3><p>Cuando dos oraciones describen a la misma persona, puedes combinarlas en una sola oración. Usa <em>and</em> para conectar las palabras descriptivas.</p><br/><p><u>Ves</u></p><p>Ella es amable.</p><p>Ella está feliz.</p><br/><p><u>Escribes</u></p><p>Ella es amable <strong>y</strong> feliz.</p><br/><br/><p><em>Si quieres estudiar el vocabulario primero, consulta los PDFs de vocabulario en el centro de estudiantes: https://www.quill.org/student-center/topic/student-how-to</em></p>"
"<h3><strong>To Be</strong></h3><p><em>Be</em> is an action word. When you use <em>be</em> after a person or thing, you have to change <em>be</em> to <em>am</em>, <em>are</em>, or <em>is</em>.</p><br/><p>I <em>am </em><br/>You <em>are</em><br/>He <em>is</em><br/>She<em> is</em><br/>It<em> is</em><br/>We <em>are</em><br/>They <em>are</em></p><br/><p><u>You See</u><br/>I ___ kind.</p><br/><p><u>You Write</u><br/>I <strong>am</strong> kind.</p>","<h3><strong>Ser</strong></h3><p><em>Be</em> es un verbo de acción. Cuando usas <em>be</em> después de una persona o cosa, debes cambiar <em>be</em> a <em>am</em>, <em>are</em> o <em>is</em>.</p><br/><p>Yo <em>am</em><br/>Tú <em>are</em><br/>Él <em>is</em><br/>Ella <em>is</em><br/>Eso <em>is</em><br/>Nosotros <em>are</em><br/>Ellos <em>are</em></p><br/><p><u>You See</u><br/>Yo ___ amable.</p><br/><p><u>You Write</u><br/>Yo <strong>am</strong> amable.</p>"
"<h3><strong>In, At, On</strong></h3><p>Use these words in different situations:</p><br/><p>Things go <em>on</em> a surface. </p><p>Things go <em>in</em> a container or room. </p><p>Things are <em>at</em> a place.</p><br/><p>It is <em>on</em> the table.</p><p>It is <em>in</em> the box.</p><p>It is <em>at</em> the park.</p><br/><p><strong><u>You See</u></strong></p><p>My backpack is ___ school.</p><br/><p><strong><u>You Write</u></strong></p><p>My backpack is <strong>at</strong> school.</p>","<h3><strong>In, At, On</strong></h3><p>Usa estas palabras en diferentes situaciones:</p><br/><p>Las cosas van <em>on</em> una superficie. </p><p>Las cosas van <em>in</em> un contenedor o habitación. </p><p>Las cosas están <em>at</em> un lugar.</p><br/><p>Está <em>on</em> la mesa.</p><p>Está <em>in</em> la caja.</p><p>Está <em>at</em> el parque.</p><br/><p><strong><u>Tú Ves</u></strong></p><p>Mi mochila está ___ la escuela.</p><br/><p><strong><u>Tú Escribes</u></strong></p><p>Mi mochila está <strong>at</strong> la escuela.</p>"
"<h3><strong>Combining Describing Sentences</strong></h3><p>When two sentences describe the same person, you can combine them into one sentence. Use <em>and</em> to connect the describing words.</p><p><br/><u>You See</u> </p><p>She is kind.</p><p>She is happy.</p><p><br/><u>You Write</u> </p><p>She is kind <strong>and</strong> happy.</p><br/><br/><p><em>If you want to study the vocabulary first, check out the vocabulary PDFs in the student center: https://www.quill.org/student-center/topic/student-how-to</em></p>","<h3><strong>Combinando oraciones descriptivas</strong></h3><p>Cuando dos oraciones describen a la misma persona, puedes combinarlas en una sola oración. Usa <em>and</em> para conectar las palabras descriptivas.</p><p><br/><u>Ves</u> </pn><p>Ella es amable.</p><p>Ella es feliz.</p><p><br/><u>Escribes</u> </p><p>Ella es amable <strong>y</strong> feliz.</p><br/><br/><p><em>Si quieres estudiar el vocabulario primero, busca los PDFs de vocabulario en el centro de estudiantes: https://www.quill.org/student-center/topic/student-how-to</em></p>"
"<h3><strong>Drive, Swim, and Run</strong></h3><p>The past tense of <em>drive</em> is <em>drove</em>.</p><p>I <strong>drive</strong> home yesterday. -&gt; I <strong>drove</strong> home yesterday.</p><br/><p>The past tense of <em>swim</em> is <em>swam.</em></p><p>She <strong>swim </strong>in the pool earlier. -&gt; She <strong>swam </strong>in the pool earlier.</p><br/><p>The past tense of <em>run</em> is <em>ran</em>.</p><p>He <strong>runs</strong> this morning. -&gt; He <strong>ran</strong> this morning.</p>","<h3><strong>Conducir, Nadar y Correr</strong></h3><p>El tiempo pasado de <em>drive</em> es <em>drove</em>.</p><p>Yo <strong>drive</strong> a casa ayer. -> Yo <strong>drove</strong> a casa ayer.</p><br/><p>El tiempo pasado de <em>swim</em> es <em>swam.</em></p><p>Ella <strong>swim </strong>en la piscina más temprano. -> Ella <strong>swam </strong>en la piscina más temprano.</p><br/><p>El tiempo pasado de <em>run</em> es <em>ran</em>.</p><p>Él <strong>runs</command> esta mañana. -> Él <strong>ran</strong> esta mañana.</p>"
"<h3><strong>Drive, Swim, and Run</strong></h3><p>The past tense of <em>drive</em> is <em>drove</em>. </p><p>I <strong>drive</strong> home yesterday. -&gt; I <strong>drove</strong> home yesterday.  </p><br/><p>The past tense of <em>swim</em> is <em>swam.</em> </p><p>She <strong>swim </strong>in the pool earlier. -&gt; She <strong>swam </strong>in the pool earlier.</p><br/><p>The past tense of <em>run</em> is <em>ran</em>. </p><p>He <strong>runs</strong> this morning. -&gt; He <strong>ran</strong> this morning.</p>","<h3><strong>Conducir, Nadar y Correr</strong></h3><p>El pasado de <em>drive</em> es <em>drove</em>. </p><p>Yo <strong>drive</strong> a casa ayer. -&gt; Yo <strong>drove</strong> a casa ayer.  </p><br/><p>El pasado de <em>swim</em> es <em>swam.</em> </p><p>Ella <strong>swim </strong>en la piscina más temprano. -&gt; Ella <strong>swam </strong>en la piscina más temprano.</p><br/><p>El pasado de <em>run</em> es <em>ran</em>. </p><p>Él <strong>runs</strong> esta mañana. -&gt; Él <strong>ran</strong> esta mañana.</p>"
"<h3><strong>Have, Do, and Go</strong></h3><p>The past tense of <em>have</em> is <em>had</em>.</p><p>I <strong>have</strong> a meeting yesterday. -&gt; I <strong>had</strong> a meeting yesterday.</p><br/><p>The past tense of <em>do</em> is <em>did.</em></p><p><strong>Do</strong> you go to the store earlier? -&gt; <strong>Did</strong> you go to the store earlier?</p><br/><p>The past tense of <em>go</em> is <em>went</em>.</p><p>She <strong>goes</strong> to the beach last week -&gt; She <strong>went</strong> to the beach last week.</p>","<h3><strong>Have, Do, y Go</strong></h3><p>El tiempo pasado de <em>have</em> es <em>had</em>.</p><p>Yo <strong>have</strong> una reunión ayer. -&gt; Yo <strong>had</strong> una reunión ayer.</p><br/><p>El tiempo pasado de <em>do</em> es <em>did.</em></p><p><strong>Do</strong> vas a la tienda más temprano? -&gt; <strong>Did</strong> vas a la tienda más temprano?</p><br/><p>El tiempo pasado de <em>go</em> es <em>went</em>.</p><p>Ella <strong>goes</strong> a la playa la semana pasada -&gt; Ella <strong>went</strong> a la playa la semana pasada.</p>"
"<h3><strong>Say, Tell, and Hear</strong></h3><p>The past tense of <em>say</em> is <em>said</em>.</p><p>I <strong>say</strong> I wanted tacos for dinner. -&gt; I <strong>said</strong> I wanted tacos for dinner.</p><br/><p>The past tense of <em>tell</em> is <em>told.</em></p><p>She <strong>tells</strong> her mom something earlier. -&gt; She <strong>told</strong> her mom something earlier.</p><br/><p>The past tense of <em>hear</em> is <em>heard</em>.</p><p>He <strong>hears</strong> Kyle singing this morning. -&gt; He <strong>heard</strong> Kyle singing this morning.</p>","<h3><strong>Say, Tell, and Hear</strong></h3><p>El tiempo pasado de <em>say</em> es <em>said</em>.</p><p>Yo <strong>say</strong> que quería tacos para cenar. -&gt; Yo <strong>said</strong> que quería tacos para cenar.</p><br/><p>El tiempo pasado de <em>tell</em> es <em>told.</em></p><p>Ella <strong>tells</strong> algo a su mamá antes. -&gt; Ella <strong>told</strong> algo a su mamá antes.</p><br/><p>El tiempo pasado de <em>hear</em> es <em>heard</em>.</p><p>Él <strong>hears</strong> a Kyle cantando esta mañana. -&gt; Él <strong>heard</strong> a Kyle cantando esta mañana.</p>"
"<h3><strong>In, At, On</strong></h3><p>Use these words in different situations:</p><br/><p>Things go <em>on</em> a surface.</p><p>Things go <em>in</em> a container or room.</p><p>Things are <em>at</em> a place.</p><br/><p>It is <em>on</em> the table.</p><p>It is <em>in</em> the box.</p><p>It is <em>at</em> the park.</p><br/><p><strong><u>You See</u></strong></p><p>My backpack is ___ school.</p><br/><p><strong><u>You Write</u></strong></p><p>My backpack is <strong>at</strong> school.</p>","<h3><strong>In, At, On</strong></h3><p>Usa estas palabras en diferentes situaciones:</p><br/><p>Las cosas van <em>on</em> una superficie.</p><p>Las cosas van <em>in</em> un contenedor o habitación.</p><p>Las cosas están <em>at</em> un lugar.</p><br/><p>Está <em>on</em> la mesa.</p><p>Está <em>in</em> la caja.</p><p>Está <em>at</em> el parque.</p><br/><p><strong><u>You See</u></strong></p><p>Mi mochila está ___ escuela.</p><br/><p><strong><u>You Write</u></strong></p><p>Mi mochila está <strong>at</strong> escuela.</p>"
"<h3><strong>Using Can</strong></h3><p>To ask a question with <em>can</em>, put <em>can</em> first, the person second, and the action word third.</p><br/><p><strong><u>You See</u></strong></p><p>___ ___ ___ peanuts?</p><br/><p><strong><u>You Write</u></strong></p><p><strong>Can she eat</strong> peanuts?</p>","<h3><strong>Usando Can</strong></h3><p>Para hacer una pregunta con <em>can</em>, coloca <em>can</em> primero, la persona segundo y la palabra de acción tercero.</p><br/><p><strong><u>Tú Ves</u></strong></p><p>___ ___ ___ peanuts?</p><br/><p><strong><u>Tú Escribe</u></strong></p><p><strong>Can she eat</strong> peanuts?</p>"
"<h3><strong>Using <em>a, an</em>, and <em>the</em></strong></h3><p>Use <em>a</em> or <em>an</em> before general things or things that have not been seen or talked about before.</p><br/><p>Use <em>the</em> before specific things or things that have already been mentioned.</p>","<h3><strong>Uso de <em>a, an</em> y <em>the</em></strong></h3><p>Usa <em>a</em> o <em>an</em> antes de cosas generales o cosas que no se han visto o mencionado antes.</p><br/><p>Usa <em>the</em> antes de cosas específicas o cosas que ya han sido mencionadas.</p>"
